date,prev_date,window,portfolio_value,realized_pnl_total,VaR_0.990_total,exception_total,realized_pnl_bonds,VaR_0.990_bonds,exception_bonds,realized_pnl_equities,VaR_0.990_equities,exception_equities,realized_pnl_fx,VaR_0.990_fx,exception_fx
2025-04-16,2025-04-15,500,245646501.9967823,-779057.4575362448,6085826.389417162,False,188295.20603695416,462954.03342714516,False,105435.42173608995,284803.9777881057,False,-1072788.085309289,6290550.388362264,False
2025-04-17,2025-04-16,500,245830552.2292448,213674.91395534808,6084934.1954252785,False,47732.858812845516,466324.8998794161,False,187224.3816657612,284803.9777881057,False,-21282.326523258642,6290550.388362263,False
2025-04-18,2025-04-17,500,245881414.02005032,-1176156.5001880287,6085068.574174089,False,-247108.98239156566,466686.69393968285,False,-149534.0539068425,284803.9777881058,False,-779513.4638896205,6290550.388362263,False
2025-04-21,2025-04-18,500,245715697.58909386,333165.4879499228,6085757.582493046,False,118424.01613607307,463354.94077190716,False,214741.47181384973,284803.9777881057,False,0.0,6290550.388362263,False
2025-04-22,2025-04-21,500,245872502.07333666,-884180.4535419781,6085125.133516533,False,87247.52618524349,465621.081039646,False,114645.36213646478,284803.9777881057,False,-1086073.3418636865,6290550.388362263,False
2025-04-23,2025-04-22,500,245934000.24297047,1076192.6223761402,6085204.471416926,False,-60965.12359673852,466183.536676008,False,-125962.40099083348,284803.9777881057,False,1263120.1469637123,6290550.388362263,False
2025-04-24,2025-04-23,500,245879490.16585672,1729931.8024980337,6085783.460212916,False,45099.67165602575,464544.0737558158,False,11899.9343008574,284803.9777881057,False,1672932.1965411506,6290550.388362263,False
2025-04-25,2025-04-24,500,245992753.13771576,1048116.9122314022,6084839.81910616,False,91138.49906734232,466967.70561306947,False,210715.73094587683,284803.9777881057,False,746262.6822181831,6290550.388362263,False
2025-04-28,2025-04-25,500,246100253.19527042,-127592.2800612614,6084435.8846907765,False,-75129.97888830455,468696.0915094812,False,-52462.30117295684,284803.9777881057,False,0.0,6290550.388362263,False
2025-04-29,2025-04-28,500,246032158.65516013,-2594447.9665788785,6085694.439913742,False,-305948.2526204249,465686.07013305114,False,-296957.15025355964,284803.9777881057,True,-1991542.563704894,6290550.388362263,False
2025-04-30,2025-04-29,500,245755019.0315988,-1191221.5569178634,6087173.346447353,False,70330.54480326542,459900.07472494844,False,-60547.371246928866,285051.01448819926,False,-1201004.7304742,6290550.388362263,False
2025-05-02,2025-04-30,500,245875672.9324293,-681903.9953228291,6086617.718454242,False,-265051.34536481136,462012.9600514926,False,-416852.6499580177,285051.0144881992,True,0.0,6290550.388362264,False
2025-05-05,2025-05-02,500,245618017.9902508,-316180.30748069286,6088348.730465769,False,-169147.5443791694,456044.2405472908,False,-147032.76310152345,297074.0577570447,False,0.0,6290550.388362264,False
2025-05-06,2025-05-05,500,245514729.524855,403531.20444977307,6089030.779516888,False,39133.56705870115,453105.8658488648,False,216901.8922516919,297074.0577570447,False,147495.74513938004,6290550.388362264,False
2025-05-07,2025-05-06,500,245528880.2177999,-1905343.8635027278,6089502.404194977,False,246043.26319879532,452566.62448161934,False,74482.65280524739,297074.0577570447,False,-2225869.7795067704,6290550.388362263,False
2025-05-08,2025-05-07,500,245827179.00354108,417944.84445208835,6087735.192986584,False,227640.5788677016,458454.65312143916,False,70805.49222752289,297074.0577570446,False,119498.77335686391,6290550.388362263,False
2025-05-12,2025-05-08,500,246020760.23983186,206731.49120246994,6087472.093468565,False,-53882.37068323633,461273.183481401,False,260613.86188570628,297074.0577570447,False,0.0,6290550.388362263,False
2025-05-13,2025-05-12,500,246040764.37406093,-2368194.858799068,6087537.940145215,False,-156350.78512925134,460504.0847738589,False,-39894.882063428675,297074.0577570446,False,-2171949.191606388,6290550.388362263,False
2025-05-14,2025-05-13,500,245886981.157475,-968344.4798807341,6088668.20415851,False,156065.2440125341,456867.49070195376,False,-244418.4195293776,297074.0577570446,False,-879991.3043638906,6290550.388362263,False
2025-05-15,2025-05-14,500,246051682.10936558,207348.5102894654,6087679.565930084,False,-132963.71964861578,460013.6755119202,False,-19964.180936319863,297074.0577570447,False,360276.41087440104,6290550.388362263,False
2025-05-16,2025-05-15,500,245943155.68397984,-162046.19465614075,6088491.815667271,False,64908.22588214882,457344.7734180001,False,-27864.495904078354,297074.0577570447,False,-199089.92463421123,6290550.388362263,False
2025-05-19,2025-05-16,500,246032703.6821502,141422.4844485192,6088220.823991075,False,125843.8089376011,458673.5713173002,False,15578.67551091807,297074.0577570447,False,0.0,6290550.388362263,False
